Time,Rate
1422692730.000000,2254
1422692731.105297,739
1422692732.210594,713
1422692733.315892,708
1422692734.421189,766
1422692735.526486,814
1422692736.631783,809
1422692737.737081,898
1422692738.842378,3967
1422692739.947675,827
1422692741.052973,824
1422692742.158270,851
1422692743.263567,810
1422692744.368864,770
1422692745.474162,703
1422692746.579459,702
1422692747.684756,738
1422692748.790053,732
1422692749.895351,826
1422692751.000648,868
1422692752.105945,810
1422692753.211242,901
1422692754.316540,831
1422692755.421837,790
1422692756.527134,794
1422692757.632432,748
1422692758.737729,727
1422692759.843026,722
1422692760.948323,768
1422692762.053621,777
1422692763.158918,1643
1422692764.264215,902
1422692765.369512,6279
1422692766.474810,811
1422692767.580107,814
1422692768.685404,809
1422692769.790701,814
1422692770.895999,892
1422692772.001296,871
1422692773.106593,904
1422692774.211890,914
1422692775.317188,768
1422692776.422485,780
1422692777.527782,854
1422692778.633080,833
1422692779.738377,806
1422692780.843674,1555
1422692781.948971,837
1422692783.054269,878
1422692784.159566,838
1422692785.264863,860
1422692786.370160,923
1422692787.475458,914
1422692788.580755,885
1422692789.686052,922
1422692790.791349,860
1422692791.896647,909
1422692793.001944,937
1422692794.107241,913
1422692795.212538,853
1422692796.317836,928
1422692797.423133,972
1422692798.528430,876
1422692799.633728,891
1422692800.739025,887
1422692801.844322,825
1422692802.949619,840
1422692804.054917,861
1422692805.160214,838
1422692806.265511,876
1422692807.370808,947
1422692808.476106,924
1422692809.581403,862
1422692810.686700,880
1422692811.791997,907
1422692812.897295,891
1422692814.002592,854
1422692815.107889,918
1422692816.213187,894
1422692817.318484,855
1422692818.423781,881
1422692819.529078,895
1422692820.634376,848
1422692821.739673,863
1422692822.844970,849
1422692823.950267,831
1422692825.055565,828
1422692826.160862,871
1422692827.266159,875
1422692828.371456,834
1422692829.476754,829
1422692830.582051,813
1422692831.687348,780
1422692832.792645,781
1422692833.897943,789
1422692835.003240,784
1422692836.108537,796
1422692837.213835,809
1422692838.319132,817
1422692839.424429,795
1422692840.529726,826
1422692841.635024,865
1422692842.740321,780
1422692843.845618,760
1422692844.950915,726
1422692846.056212,746
1422692847.161510,746
1422692848.266807,733
1422692849.372104,814
