Time,Heart_beat, Speed
1422077581.000000,124,1.290000
1422077582.000000,124,1.070000
1422077583.000000,125,1.170000
1422077585.000000,128,2.090000
1422077586.000000,129,1.510000
1422077587.000000,130,3.190000
1422077589.000000,131,3.520000
1422077593.000000,134,3.640000
1422077596.000000,137,1.630000
1422077598.000000,139,2.070000
1422077599.000000,139,2.470000
1422077600.000000,140,1.870000
1422077601.000000,140,0.950000
1422077604.000000,142,2.870000
1422077606.000000,143,2.990000
1422077607.000000,143,3.090000
1422077610.000000,146,3.310000
1422077611.000000,147,3.270000
1422077613.000000,149,2.510000
1422077614.000000,151,3.730000
1422077616.000000,154,3.270000
1422077617.000000,156,1.810000
1422077620.000000,158,4.800000
1422077622.000000,159,4.120000
1422077623.000000,158,4.110000
1422077626.000000,158,3.520000
1422077627.000000,159,3.350000
1422077631.000000,158,2.820000
1422077634.000000,157,1.430000
1422077637.000000,158,3.550000
1422077639.000000,159,4.010000
1422077641.000000,162,5.060000
1422077644.000000,165,4.740000
1422077645.000000,166,4.920000
1422077647.000000,169,3.410000
1422077649.000000,171,2.630000
1422077652.000000,172,2.670000
1422077655.000000,172,1.200000
1422077658.000000,170,1.200000
1422077659.000000,169,0.720000
1422077662.000000,169,2.390000
1422077663.000000,169,3.330000
1422077666.000000,169,3.000000
1422077670.000000,171,3.900000
1422077672.000000,172,2.420000
1422077674.000000,172,2.540000
1422077676.000000,172,0.950000
1422077677.000000,172,2.000000
1422077681.000000,172,4.060000
1422077683.000000,171,3.670000
1422077685.000000,170,4.050000
1422077688.000000,171,4.930000
1422077689.000000,172,4.560000
1422077691.000000,172,3.250000
1422077692.000000,172,2.600000
1422077695.000000,172,2.340000
1422077699.000000,172,2.820000
1422077700.000000,172,2.690000
1422077702.000000,172,3.110000
1422077705.000000,170,3.350000
1422077706.000000,169,2.970000
1422077708.000000,167,2.520000
1422077709.000000,167,2.950000
1422077710.000000,167,1.980000
1422077712.000000,167,0.710000
1422077715.000000,168,1.660000
1422077718.000000,169,1.990000
1422077722.000000,169,2.750000
1422077726.000000,167,3.880000
1422077728.000000,166,4.010000
1422077730.000000,166,4.160000
1422077732.000000,166,3.240000
1422077734.000000,166,1.260000
1422077738.000000,167,0.990000
1422077742.000000,166,2.370000
1422077745.000000,165,2.530000
1422077746.000000,164,2.770000
1422077747.000000,163,2.380000
1422077750.000000,162,2.950000
1422077751.000000,163,3.000000
1422077754.000000,163,2.450000
1422077758.000000,164,1.760000
1422077761.000000,164,0.000000
1422077763.000000,160,0.970000
1422077765.000000,158,2.160000
1422077768.000000,159,1.430000
1422077773.000000,161,0.630000
1422077776.000000,160,1.510000
1422077778.000000,158,2.300000
1422077780.000000,156,2.220000
1422077782.000000,154,0.510000
1422077783.000000,151,0.000000
1422077784.000000,148,0.000000
1422077785.000000,145,0.580000
1422077786.000000,141,1.290000
1422077787.000000,140,2.330000
1422077789.000000,140,1.250000
1422077790.000000,142,2.140000
1422077792.000000,145,2.550000
1422077793.000000,145,2.340000
1422077795.000000,148,2.650000
1422077796.000000,150,2.890000
1422077799.000000,152,3.110000
1422077801.000000,154,2.940000
1422077804.000000,153,2.840000
1422077806.000000,153,2.750000
1422077810.000000,152,3.400000
1422077814.000000,153,3.240000
1422077815.000000,153,2.330000
1422077816.000000,153,2.680000
1422077819.000000,153,2.410000
1422077821.000000,153,1.990000
1422077822.000000,153,1.740000
1422077824.000000,153,1.400000
1422077828.000000,150,0.600000
1422077830.000000,149,0.000000
1422077837.000000,149,1.320000
1422077841.000000,147,1.600000
1422077842.000000,147,1.370000
1422077843.000000,147,1.190000
1422077845.000000,148,0.000000
1422077851.000000,145,0.000000
1422077853.000000,142,0.000000
1422077855.000000,139,1.370000
1422077857.000000,139,1.750000
1422077859.000000,142,1.820000
1422077860.000000,142,2.360000
1422077861.000000,143,1.620000
1422077864.000000,144,1.070000
1422077867.000000,147,1.350000
1422077870.000000,148,1.490000
1422077871.000000,147,0.690000
1422077876.000000,146,0.950000
1422077879.000000,146,0.660000
1422077880.000000,147,0.000000
1422077882.000000,147,0.920000
1422077884.000000,149,2.270000
1422077888.000000,149,3.190000
1422077891.000000,151,2.970000
1422077892.000000,151,4.300000
1422077894.000000,157,2.580000
1422077895.000000,160,4.070000
1422077896.000000,164,3.110000
1422077897.000000,167,1.220000
1422077898.000000,170,1.180000
1422077899.000000,173,1.060000
1422077901.000000,177,3.810000
1422077903.000000,180,3.800000
1422077904.000000,182,2.840000
1422077906.000000,186,2.750000
1422077910.000000,188,2.230000
1422077912.000000,188,3.870000
1422077915.000000,188,5.410000
1422077918.000000,188,5.610000
1422077919.000000,188,4.700000
1422077921.000000,187,3.550000
1422077922.000000,186,2.920000
1422077924.000000,183,2.700000
1422077925.000000,182,2.100000
1422077927.000000,181,2.060000
1422077930.000000,179,1.550000
1422077931.000000,179,1.490000
1422077935.000000,177,0.560000
1422077936.000000,177,1.310000
1422077939.000000,176,1.640000
1422077942.000000,174,1.370000
1422077946.000000,172,0.760000
1422077949.000000,171,1.480000
1422077952.000000,168,1.240000
1422077957.000000,168,2.650000
1422077958.000000,169,1.210000
1422077960.000000,171,2.540000
1422077963.000000,173,1.000000
1422077965.000000,176,0.000000
1422077967.000000,177,3.050000
1422077970.000000,180,4.250000
1422077971.000000,180,4.460000
1422077972.000000,181,5.050000
1422077974.000000,181,5.820000
1422077976.000000,182,4.370000
1422077977.000000,183,3.920000
1422077980.000000,184,1.280000
1422077982.000000,185,2.120000
1422077984.000000,186,1.170000
1422077985.000000,187,1.260000
1422077988.000000,188,3.290000
1422077990.000000,190,3.380000
1422077993.000000,191,3.400000
1422077995.000000,190,3.040000
1422077996.000000,190,2.680000
1422077998.000000,188,2.380000
1422078001.000000,184,0.630000
1422078002.000000,183,1.590000
1422078005.000000,182,0.990000
1422078009.000000,180,1.840000
1422078014.000000,177,0.000000
1422078015.000000,177,0.000000
1422078017.000000,178,0.700000
1422078020.000000,175,0.530000
1422078021.000000,174,0.940000
1422078025.000000,172,1.800000
1422078029.000000,173,1.300000
1422078032.000000,172,1.350000
1422078033.000000,172,1.410000
1422078037.000000,171,1.750000
1422078039.000000,171,1.690000
1422078040.000000,171,1.780000
1422078041.000000,170,1.500000
1422078045.000000,169,1.390000
1422078048.000000,170,2.070000
1422078051.000000,172,3.760000
1422078053.000000,175,3.400000
1422078054.000000,177,3.570000
1422078056.000000,180,2.950000
1422078057.000000,181,2.190000
1422078060.000000,183,0.000000
1422078063.000000,183,1.460000
1422078064.000000,183,0.510000
1422078069.000000,182,0.000000
1422078071.000000,181,1.100000
1422078074.000000,180,1.900000
1422078076.000000,180,3.990000
1422078077.000000,181,1.430000
1422078079.000000,182,4.560000
1422078082.000000,183,1.120000
1422078085.000000,183,0.980000
1422078086.000000,184,0.000000
1422078087.000000,184,0.970000
1422078091.000000,186,0.000000
1422078096.000000,186,1.530000
1422078097.000000,186,0.610000
1422078102.000000,185,1.130000
1422078103.000000,185,0.000000
1422078105.000000,183,2.120000
1422078107.000000,185,2.710000
1422078110.000000,188,5.160000
1422078112.000000,191,6.440000
1422078113.000000,192,4.470000
1422078115.000000,194,5.330000
1422078118.000000,197,3.490000
1422078120.000000,198,4.490000
1422078123.000000,199,3.410000
1422078126.000000,198,2.510000
1422078131.000000,197,1.560000
