Time,Heart_beat, Speed
1422185084.000000,89,0.122000
1422185085.000000,89,0.000000
1422185090.000000,88,0.767000
1422185093.000000,88,1.734000
1422185096.000000,95,2.599000
1422185097.000000,105,2.863000
1422185098.000000,116,3.099000
1422185099.000000,122,3.365000
1422185100.000000,127,3.693000
1422185101.000000,132,3.825000
1422185102.000000,135,3.792000
1422185103.000000,139,3.734000
1422185104.000000,141,3.614000
1422185105.000000,142,3.484000
1422185107.000000,145,3.248000
1422185108.000000,146,3.195000
1422185111.000000,149,3.429000
1422185112.000000,150,3.365000
1422185115.000000,153,3.381000
1422185117.000000,153,3.416000
1422185118.000000,154,3.438000
1422185121.000000,154,3.452000
1422185126.000000,155,3.518000
1422185131.000000,156,4.052000
1422185132.000000,156,4.045000
1422185138.000000,158,3.664000
1422185139.000000,159,3.556000
1422185143.000000,161,3.507000
1422185148.000000,162,3.701000
1422185153.000000,163,3.928000
1422185154.000000,163,3.898000
1422185158.000000,163,4.240000
1422185159.000000,164,4.344000
1422185162.000000,164,4.385000
1422185164.000000,164,4.249000
1422185169.000000,163,4.727000
1422185172.000000,163,4.452000
1422185177.000000,163,4.326000
1422185179.000000,163,3.682000
1422185180.000000,163,3.559000
1422185185.000000,162,3.575000
1422185190.000000,163,3.514000
1422185195.000000,163,3.364000
1422185196.000000,163,3.386000
1422185202.000000,165,3.390000
1422185208.000000,164,3.301000
1422185212.000000,163,3.037000
1422185217.000000,159,2.915000
1422185218.000000,158,2.926000
1422185219.000000,154,2.917000
1422185223.000000,153,2.994000
1422185226.000000,155,3.098000
1422185230.000000,158,2.976000
1422185232.000000,160,2.934000
1422185238.000000,163,2.906000
1422185242.000000,163,2.950000
1422185247.000000,163,2.857000
1422185252.000000,162,2.614000
1422185256.000000,161,2.393000
1422185257.000000,161,2.334000
1422185262.000000,163,2.209000
1422185266.000000,163,2.475000
1422185271.000000,165,2.751000
1422185276.000000,168,3.006000
1422185281.000000,171,3.254000
1422185287.000000,171,3.417000
1422185288.000000,171,3.453000
1422185294.000000,171,3.527000
1422185299.000000,171,3.456000
1422185305.000000,173,3.335000
1422185311.000000,171,3.326000
1422185317.000000,171,3.343000
1422185318.000000,171,3.565000
1422185324.000000,170,3.524000
1422185329.000000,171,3.536000
1422185330.000000,171,3.367000
1422185336.000000,170,3.251000
1422185342.000000,168,3.064000
1422185348.000000,169,2.975000
1422185353.000000,170,2.864000
1422185357.000000,170,2.849000
1422185362.000000,171,3.190000
1422185369.000000,169,3.420000
1422185374.000000,168,3.320000
1422185378.000000,168,3.306000
1422185383.000000,168,3.356000
1422185389.000000,169,3.280000
1422185390.000000,170,3.291000
1422185395.000000,170,3.175000
1422185401.000000,171,3.124000
1422185408.000000,172,3.151000
1422185413.000000,175,3.219000
1422185414.000000,174,3.235000
1422185421.000000,174,3.325000
1422185426.000000,175,3.371000
1422185433.000000,175,3.322000
1422185440.000000,175,3.250000
1422185442.000000,174,3.156000
1422185444.000000,174,2.999000
1422185449.000000,173,2.900000
1422185453.000000,170,2.926000
1422185455.000000,170,2.961000
1422185461.000000,172,2.757000
1422185465.000000,172,3.028000
1422185467.000000,171,3.072000
